"month","SubwayLine","total_gated_entries","year","distinct_alert_count","avg_severity"
1,"BLUE",851396.199999999,2021,9,3.33333333333333
1,"GREEN",397651.459999999,2021,39,4.33333333333333
1,"ORANGE",2017798.27999999,2021,25,3.8
1,"RED",2058140.96000001,2021,40,3.575
2,"BLUE",868346.499999999,2021,11,4.09090909090909
2,"GREEN",987306.596760396,2021,34,3.97058823529412
2,"ORANGE",1887042.8,2021,33,3.54545454545455
2,"RED",1890266.07,2021,33,3.96969696969697
3,"BLUE",973257.499999996,2021,6,2.66666666666667
3,"GREEN",1187413.74344777,2021,48,4.25
3,"ORANGE",1908128.77999998,2021,25,3.4
3,"RED",2258847.01,2021,26,4.15384615384615
4,"BLUE",748393.1,2021,2,3.5
4,"GREEN",1542467.85012675,2021,31,4.12903225806452
4,"ORANGE",2162527.26,2021,27,3.74074074074074
4,"RED",2400014.79,2021,36,3.66666666666667
5,"BLUE",1058559.9,2021,12,4.58333333333333
5,"GREEN",1455885.96014571,2021,31,3.41935483870968
5,"ORANGE",1995476.95,2021,18,3.44444444444444
5,"RED",2198263.69,2021,32,3.96875
6,"BLUE",1047411.9,2021,10,4.1
6,"GREEN",1496571.9101276,2021,30,3.1
6,"ORANGE",1603073.99,2021,24,3.54166666666667
6,"RED",2256576.90000001,2021,41,3.80487804878049
7,"BLUE",137645.6,2021,10,4
7,"GREEN",1377880.38677431,2021,43,3.95348837209302
7,"ORANGE",1956328.10999999,2021,32,3.9375
7,"RED",1825064.67,2021,31,3.74193548387097
8,"BLUE",895112,2021,10,3.4
8,"GREEN",1459178.58343513,2021,40,3.375
8,"ORANGE",1991380.08,2021,24,3.45833333333333
8,"RED",2029408.87,2021,40,4
9,"BLUE",872758.499999998,2021,11,3.54545454545455
9,"GREEN",1572163.38676677,2021,30,3.7
9,"ORANGE",2385217.36,2021,33,3.87878787878788
9,"RED",2153168.72,2021,28,3.57142857142857
1,"BLUE",589850.100000001,2022,15,4.4
1,"GREEN",699912.929999998,2022,32,4.59375
1,"ORANGE",1439910.26,2022,30,4.33333333333333
1,"RED",1547588.81,2022,43,4.34883720930233
2,"BLUE",645962.399999999,2022,12,3.25
2,"GREEN",905925.800000002,2022,23,4.17391304347826
2,"ORANGE",1621672.17,2022,35,4.11428571428571
2,"RED",1921450.83,2022,45,4.37777777777778
3,"BLUE",821988.799999998,2022,7,5.42857142857143
3,"GREEN",1097995.14,2022,41,5
3,"ORANGE",1952304.79,2022,26,4.23076923076923
3,"RED",2491529.27,2022,35,4.08571428571429
4,"BLUE",728966.499999998,2022,5,3.6
4,"GREEN",1201345.48999999,2022,19,3.31578947368421
4,"ORANGE",2000389.56000001,2022,17,3.58823529411765
4,"RED",2406443.74999999,2022,37,3.56756756756757
5,"BLUE",534291.6,2022,10,2.8
5,"GREEN",1209226.49,2022,23,4.21739130434783
5,"ORANGE",2040510.83999999,2022,22,3.95454545454545
5,"RED",2580621.77,2022,33,3.60606060606061
6,"BLUE",864313.399999995,2022,13,4.61538461538461
6,"GREEN",1236707.06999999,2022,45,4.8
6,"ORANGE",2023744.55999999,2022,15,3.93333333333333
6,"RED",2552814.77,2022,25,3.48
7,"BLUE",896851.4,2022,5,4.4
7,"GREEN",1432436.55012933,2022,36,4.5
7,"ORANGE",1911756.95,2022,21,4.47619047619048
7,"RED",2413626.39999999,2022,36,3.97222222222222
8,"BLUE",940003.2,2022,9,4
8,"GREEN",1301443.31674209,2022,30,4.46666666666667
8,"ORANGE",1236768.74,2022,7,3.85714285714286
8,"RED",2542410.80999999,2022,38,4.18421052631579
9,"BLUE",1017292.5,2022,11,4.09090909090909
9,"GREEN",1495021.53337723,2022,34,4.32352941176471
9,"ORANGE",802864.6,2022,5,3
9,"RED",2686788.4,2022,43,4.53488372093023
10,"BLUE",980989.2,2022,3,7
10,"GREEN",1500445.24344872,2022,31,4.7741935483871
10,"ORANGE",2087847.68999999,2022,7,3.14285714285714
10,"RED",2685522.2,2022,24,4.79166666666667
11,"BLUE",885103.8,2022,10,4.1
11,"GREEN",1342951.26676737,2022,28,4.39285714285714
11,"ORANGE",1991441.68,2022,6,3.83333333333333
11,"RED",2470837.52000001,2022,36,4.13888888888889
12,"BLUE",813788.899999998,2022,10,4
12,"GREEN",1267359.1601243,2022,35,4.57142857142857
12,"ORANGE",1825460.73,2022,23,4.39130434782609
12,"RED",2124740.51,2022,36,4.52777777777778
1,"BLUE",825856.699999999,2023,13,3.92307692307692
1,"GREEN",1329618.73089698,2023,41,5.04878048780488
1,"ORANGE",1820651.06,2023,17,4
1,"RED",2234056.04,2023,40,4.425
2,"BLUE",786911.099999999,2023,9,3.66666666666667
2,"GREEN",1244107.62447898,2023,36,4.72222222222222
2,"ORANGE",1671528.27,2023,26,4.65384615384615
2,"RED",2032742.17,2023,53,4.60377358490566
3,"BLUE",945203.9,2023,8,4.875
3,"GREEN",1495002.63088198,2023,39,4.82051282051282
3,"ORANGE",2021423.28,2023,20,4.3
3,"RED",2279193.42,2023,38,4.71052631578947
4,"BLUE",908782.899999999,2023,15,4.06666666666667
4,"GREEN",1598370.91433097,2023,38,4.3421052631579
4,"ORANGE",1857366.39,2023,22,4.54545454545455
4,"RED",2201985.06,2023,40,4.85
5,"BLUE",1037335.7,2023,16,4.3125
5,"GREEN",1552881.86749397,2023,45,4.71111111111111
5,"ORANGE",2021815.18,2023,11,3.90909090909091
5,"RED",2377504.85,2023,43,4.62790697674419
6,"BLUE",1201983.4,2023,14,3.78571428571429
6,"GREEN",1400989.67150898,2023,50,4.72
6,"ORANGE",1947946.20999999,2023,20,4.6
6,"RED",2367517.15,2023,53,4.45283018867925
7,"BLUE",1271121.4,2023,24,3.29166666666667
7,"GREEN",1423816.60429998,2023,36,4.61111111111111
7,"ORANGE",1978413.4,2023,21,4.33333333333333
7,"RED",2328768.46,2023,49,4.63265306122449
