"year","month","SubwayLine","distinct_alert_count","avg_severity"
2021,1,"BLUE",9,3.33333333333333
2021,1,"GREEN",39,4.33333333333333
2021,1,"ORANGE",25,3.8
2021,1,"RED",40,3.575
2021,1,NA,1,1
2021,2,"BLUE",11,4.09090909090909
2021,2,"GREEN",34,3.97058823529412
2021,2,"ORANGE",33,3.54545454545455
2021,2,"RED",33,3.96969696969697
2021,3,"BLUE",6,2.66666666666667
2021,3,"GREEN",48,4.25
2021,3,"ORANGE",25,3.4
2021,3,"RED",26,4.15384615384615
2021,4,"BLUE",2,3.5
2021,4,"GREEN",31,4.12903225806452
2021,4,"ORANGE",27,3.74074074074074
2021,4,"RED",36,3.66666666666667
2021,5,"BLUE",12,4.58333333333333
2021,5,"GREEN",31,3.41935483870968
2021,5,"ORANGE",18,3.44444444444444
2021,5,"RED",32,3.96875
2021,5,NA,3,1
2021,6,"BLUE",10,4.1
2021,6,"GREEN",30,3.1
2021,6,"ORANGE",24,3.54166666666667
2021,6,"RED",41,3.80487804878049
2021,7,"BLUE",10,4
2021,7,"GREEN",43,3.95348837209302
2021,7,"ORANGE",32,3.9375
2021,7,"RED",31,3.74193548387097
2021,7,NA,2,1
2021,8,"BLUE",10,3.4
2021,8,"GREEN",40,3.375
2021,8,"ORANGE",24,3.45833333333333
2021,8,"RED",40,4
2021,8,NA,2,1
2021,9,"BLUE",11,3.54545454545455
2021,9,"GREEN",30,3.7
2021,9,"ORANGE",33,3.87878787878788
2021,9,"RED",28,3.57142857142857
2021,9,NA,1,1
2021,10,"BLUE",15,3.66666666666667
2021,10,"GREEN",29,3.3448275862069
2021,10,"ORANGE",42,3.85714285714286
2021,10,"RED",47,3.78723404255319
2021,10,NA,1,1
2021,11,"BLUE",8,4.25
2021,11,"GREEN",36,3.33333333333333
2021,11,"ORANGE",24,3.58333333333333
2021,11,"RED",42,3.9047619047619
2021,11,NA,1,1
2021,12,"BLUE",10,3.5
2021,12,"GREEN",32,4.65625
2021,12,"ORANGE",30,3.46666666666667
2021,12,"RED",35,4
2021,12,NA,1,1
2022,1,"BLUE",15,4.4
2022,1,"GREEN",32,4.59375
2022,1,"ORANGE",30,4.33333333333333
2022,1,"RED",43,4.34883720930233
2022,1,NA,2,1
2022,2,"BLUE",12,3.25
2022,2,"GREEN",23,4.17391304347826
2022,2,"ORANGE",35,4.11428571428571
2022,2,"RED",45,4.37777777777778
2022,3,"BLUE",7,5.42857142857143
2022,3,"GREEN",41,5
2022,3,"ORANGE",26,4.23076923076923
2022,3,"RED",35,4.08571428571429
2022,3,NA,2,1
2022,4,"BLUE",5,3.6
2022,4,"GREEN",19,3.31578947368421
2022,4,"ORANGE",17,3.58823529411765
2022,4,"RED",37,3.56756756756757
2022,4,NA,1,1
2022,5,"BLUE",10,2.8
2022,5,"GREEN",23,4.21739130434783
2022,5,"ORANGE",22,3.95454545454545
2022,5,"RED",33,3.60606060606061
2022,6,"BLUE",13,4.61538461538461
2022,6,"GREEN",45,4.8
2022,6,"ORANGE",15,3.93333333333333
2022,6,"RED",25,3.48
2022,6,NA,5,2.2
2022,7,"BLUE",5,4.4
2022,7,"GREEN",36,4.5
2022,7,"ORANGE",21,4.47619047619048
2022,7,"RED",36,3.97222222222222
2022,8,"BLUE",9,4
2022,8,"GREEN",30,4.46666666666667
2022,8,"ORANGE",7,3.85714285714286
2022,8,"RED",38,4.18421052631579
2022,8,NA,1,1
2022,9,"BLUE",11,4.09090909090909
2022,9,"GREEN",34,4.32352941176471
2022,9,"ORANGE",5,3
2022,9,"RED",43,4.53488372093023
2022,10,"BLUE",3,7
2022,10,"GREEN",31,4.7741935483871
2022,10,"ORANGE",7,3.14285714285714
2022,10,"RED",24,4.79166666666667
2022,11,"BLUE",10,4.1
2022,11,"GREEN",28,4.39285714285714
2022,11,"ORANGE",6,3.83333333333333
2022,11,"RED",36,4.13888888888889
2022,12,"BLUE",10,4
2022,12,"GREEN",35,4.57142857142857
2022,12,"ORANGE",23,4.39130434782609
2022,12,"RED",36,4.52777777777778
2022,12,NA,1,3
2023,1,"BLUE",13,3.92307692307692
2023,1,"GREEN",41,5.04878048780488
2023,1,"ORANGE",17,4
2023,1,"RED",40,4.425
2023,1,NA,5,3.8
2023,2,"BLUE",9,3.66666666666667
2023,2,"GREEN",36,4.72222222222222
2023,2,"ORANGE",26,4.65384615384615
2023,2,"RED",53,4.60377358490566
2023,2,NA,3,4.33333333333333
2023,3,"BLUE",8,4.875
2023,3,"GREEN",39,4.82051282051282
2023,3,"ORANGE",20,4.3
2023,3,"RED",38,4.71052631578947
2023,3,NA,1,3
2023,4,"BLUE",15,4.06666666666667
2023,4,"GREEN",38,4.3421052631579
2023,4,"ORANGE",22,4.54545454545455
2023,4,"RED",40,4.85
2023,5,"BLUE",16,4.3125
2023,5,"GREEN",45,4.71111111111111
2023,5,"ORANGE",11,3.90909090909091
2023,5,"RED",43,4.62790697674419
2023,5,NA,3,3
2023,6,"BLUE",14,3.78571428571429
2023,6,"GREEN",50,4.72
2023,6,"ORANGE",20,4.6
2023,6,"RED",53,4.45283018867925
2023,7,"BLUE",24,3.29166666666667
2023,7,"GREEN",36,4.61111111111111
2023,7,"ORANGE",21,4.33333333333333
2023,7,"RED",49,4.63265306122449
2023,7,NA,2,1
